    91/199     1.65G   0.02095  0.006057         0   0.02701        14       512    0.8192    0.5686    0.6349    0.2774   0.05064    0.0223         0
    92/199     1.65G   0.02101  0.006203         0   0.02722        14       512    0.7748     0.649    0.6674     0.296   0.05012   0.02245         0
    93/199     1.65G   0.01934  0.005987         0   0.02533        14       512    0.8239    0.6333    0.6609    0.2925   0.05073    0.0229         0
    94/199     1.65G   0.01914  0.005995         0   0.02514        14       512    0.7428    0.6588    0.6545    0.2915    0.0505   0.02357         0
    95/199     1.65G   0.01811  0.005748         0   0.02386        14       512     0.785    0.6451    0.6801     0.299    0.0504   0.02339         0
    96/199     1.65G   0.01813  0.005745         0   0.02388        14       512     0.796    0.6352    0.6708    0.2929   0.05057   0.02397         0
    97/199     1.65G   0.01795  0.005634         0   0.02359        14       512    0.7744    0.6471    0.6667     0.284   0.05131   0.02339         0
    98/199     1.65G   0.01702  0.005609         0   0.02262        14       512    0.8375    0.5863    0.6402    0.2789   0.05157   0.02383         0
    99/199     1.65G   0.01708   0.00549         0   0.02257        14       512    0.7995    0.6254    0.6585    0.2747    0.0512   0.02363         0
   100/199     1.65G   0.01764  0.005808         0   0.02345        14       512    0.8094       0.6    0.6328    0.2752    0.0515    0.0241         0
   101/199     1.65G   0.01836  0.005653         0   0.02402        14       512      0.83    0.5941    0.6432    0.2794   0.05059   0.02343         0
   102/199     1.65G   0.01841  0.005478         0   0.02388        14       512     0.791    0.6233    0.6499    0.2808   0.05094   0.02345         0
   103/199     1.65G   0.01814  0.005501         0   0.02364        14       512    0.7561    0.6451    0.6658    0.2914   0.05085    0.0238         0
   104/199     1.65G   0.01829  0.005492         0   0.02379        14       512    0.7661    0.6231    0.6485    0.2867   0.05093   0.02419         0
   105/199     1.65G     0.019  0.005571         0   0.02457        14       512    0.8141    0.6352    0.6916    0.2971   0.05049    0.0231         0
   106/199     1.65G   0.01824  0.005637         0   0.02387        14       512    0.7923    0.6584      0.69    0.2959   0.05043   0.02289         0
   107/199     1.65G   0.01786  0.005509         0   0.02337        14       512    0.7625    0.6548    0.6616     0.295    0.0502   0.02349         0
   108/199     1.65G    0.0176  0.005394         0   0.02299        14       512    0.7746    0.6137    0.6367    0.2859   0.05045   0.02432         0
   109/199     1.65G   0.01749  0.005355         0   0.02285        14       512    0.8448    0.5763      0.63    0.2839   0.05027   0.02421         0
   110/199     1.65G   0.01652  0.005443         0   0.02196        14       512    0.7809    0.6291    0.6428    0.2882   0.05018   0.02418         0
   111/199     1.65G   0.01624  0.005294         0   0.02154        14       512    0.8167    0.6118     0.651     0.289   0.05009    0.0242         0
   112/199     1.65G   0.01544  0.005129         0   0.02057        14       512    0.8399     0.598    0.6519    0.2941   0.05027   0.02519         0
